title,author,length
1. Hillbilly Elegy,By: J. D. Vance,Length: 6 hrs and 49 mins
2. It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
3. He Who Fights with Monsters 11: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 26 hrs and 19 mins
4. The Women,By: Kristin Hannah,Length: 14 hrs and 57 mins
5. Project Hail Mary,By: Andy Weir,Length: 16 hrs and 10 mins
6. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
7. The Housemaid,By: Freida McFadden,Length: 9 hrs and 46 mins
8. A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins
9. The Teacher,By: Freida McFadden,Length: 9 hrs and 35 mins
10. The Anxious Generation,By: Jonathan Haidt,Length: 10 hrs and 32 mins
11. The Briar Club,By: Kate Quinn,Length: 15 hrs and 3 mins
12. All the Colors of the Dark,By: Chris Whitaker,Length: 14 hrs and 37 mins
13. Eruption,"By: Michael Crichton, James Patterson",Length: 10 hrs and 32 mins
14. The Serpent and the Wings of Night,By: Carissa Broadbent,Length: 15 hrs and 4 mins
15. First Lie Wins,By: Ashley Elston,Length: 9 hrs and 16 mins
16. The God of the Woods,By: Liz Moore,Length: 14 hrs and 35 mins
17. A Court of Wings and Ruin,By: Sarah J. Maas,Length: 25 hrs and 9 mins
18. Kingdom of Ash,By: Sarah J. Maas,Length: 33 hrs and 11 mins
19. You Like It Darker,By: Stephen King,Length: 20 hrs and 21 mins
20. It Starts with Us,By: Colleen Hoover,Length: 8 hrs and 41 mins
1. Hillbilly Elegy,By: J. D. Vance,Length: 6 hrs and 49 mins
2. It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
3. He Who Fights with Monsters 11: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 26 hrs and 19 mins
4. The Women,By: Kristin Hannah,Length: 14 hrs and 57 mins
5. Project Hail Mary,By: Andy Weir,Length: 16 hrs and 10 mins
6. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
7. The Housemaid,By: Freida McFadden,Length: 9 hrs and 46 mins
8. A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins
9. The Teacher,By: Freida McFadden,Length: 9 hrs and 35 mins
10. The Anxious Generation,By: Jonathan Haidt,Length: 10 hrs and 32 mins
11. The Briar Club,By: Kate Quinn,Length: 15 hrs and 3 mins
12. All the Colors of the Dark,By: Chris Whitaker,Length: 14 hrs and 37 mins
13. Eruption,"By: Michael Crichton, James Patterson",Length: 10 hrs and 32 mins
14. The Serpent and the Wings of Night,By: Carissa Broadbent,Length: 15 hrs and 4 mins
15. First Lie Wins,By: Ashley Elston,Length: 9 hrs and 16 mins
16. The God of the Woods,By: Liz Moore,Length: 14 hrs and 35 mins
17. A Court of Wings and Ruin,By: Sarah J. Maas,Length: 25 hrs and 9 mins
18. Kingdom of Ash,By: Sarah J. Maas,Length: 33 hrs and 11 mins
19. You Like It Darker,By: Stephen King,Length: 20 hrs and 21 mins
20. It Starts with Us,By: Colleen Hoover,Length: 8 hrs and 41 mins
21. The Inmate,By: Freida McFadden,Length: 8 hrs and 5 mins
22. Becoming Supernatural,By: Joe Dispenza,Length: 14 hrs and 6 mins
23. Supercommunicators,By: Charles Duhigg,Length: 7 hrs and 28 mins
24. Funny Story,By: Emily Henry,Length: 11 hrs and 23 mins
25. Fourth Wing,By: Rebecca Yarros,Length: 21 hrs and 22 mins
26. The Housemaid Is Watching,By: Freida McFadden,Length: 11 hrs and 42 mins
27. He Who Fights with Monsters: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 56 mins
28. Listen for the Lie,By: Amy Tintera,Length: 9 hrs and 18 mins
29. The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins
30. Iron Flame,By: Rebecca Yarros,Length: 28 hrs and 16 mins
31. The Martian,By: Andy Weir,Length: 10 hrs and 59 mins
32. A Court of Silver Flames,By: Sarah J. Maas,Length: 26 hrs and 5 mins
33. The Truths We Hold,By: Kamala Harris,Length: 9 hrs and 26 mins
34. Haunting Adeline,By: H. D. Carlton,Length: 15 hrs and 49 mins
35. We Are Legion (We Are Bob),By: Dennis E. Taylor,Length: 9 hrs and 56 mins
36. Butcher & Blackbird,By: Brynne Weaver,Length: 8 hrs and 43 mins
37. Life After Death,By: Sister Souljah,Length: 16 hrs and 1 min
38. A Game of Thrones,By: George R.R. Martin,Length: 33 hrs and 46 mins
39. The Black Bird Oracle,By: Deborah Harkness,Length: 17 hrs and 3 mins
40. Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
21. The Inmate,By: Freida McFadden,Length: 8 hrs and 5 mins
22. Becoming Supernatural,By: Joe Dispenza,Length: 14 hrs and 6 mins
23. Supercommunicators,By: Charles Duhigg,Length: 7 hrs and 28 mins
24. Funny Story,By: Emily Henry,Length: 11 hrs and 23 mins
25. Fourth Wing,By: Rebecca Yarros,Length: 21 hrs and 22 mins
26. The Housemaid Is Watching,By: Freida McFadden,Length: 11 hrs and 42 mins
27. He Who Fights with Monsters: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 56 mins
28. Listen for the Lie,By: Amy Tintera,Length: 9 hrs and 18 mins
29. The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins
30. Iron Flame,By: Rebecca Yarros,Length: 28 hrs and 16 mins
31. The Martian,By: Andy Weir,Length: 10 hrs and 59 mins
32. A Court of Silver Flames,By: Sarah J. Maas,Length: 26 hrs and 5 mins
33. The Truths We Hold,By: Kamala Harris,Length: 9 hrs and 26 mins
34. Haunting Adeline,By: H. D. Carlton,Length: 15 hrs and 49 mins
35. We Are Legion (We Are Bob),By: Dennis E. Taylor,Length: 9 hrs and 56 mins
36. Butcher & Blackbird,By: Brynne Weaver,Length: 8 hrs and 43 mins
37. Life After Death,By: Sister Souljah,Length: 16 hrs and 1 min
38. A Game of Thrones,By: George R.R. Martin,Length: 33 hrs and 46 mins
39. The Black Bird Oracle,By: Deborah Harkness,Length: 17 hrs and 3 mins
40. Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
41. The Nightingale,By: Kristin Hannah,Length: 17 hrs and 19 mins
42. Too Late,By: Colleen Hoover,Length: 10 hrs and 19 mins
43. The Last Mrs. Parrish,By: Liv Constantine,Length: 12 hrs
44. Jurassic Park,By: Michael Crichton,Length: 15 hrs and 10 mins
45. The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 55 mins
46. Red Sky Mourning,By: Jack Carr,Length: 15 hrs and 28 mins
47. Queen of Shadows,By: Sarah J. Maas,Length: 20 hrs and 43 mins
