title,author,length
1. Hillbilly Elegy,By: J. D. Vance,Length: 6 hrs and 49 mins
2. It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
3. The Women,By: Kristin Hannah,Length: 14 hrs and 57 mins
4. Project Hail Mary,By: Andy Weir,Length: 16 hrs and 10 mins
5. He Who Fights with Monsters 11: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 26 hrs and 19 mins
6. The Good Wife,By: Gemma Rogers,Length: 10 hrs and 42 mins
7. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
8. The Teacher,By: Freida McFadden,Length: 9 hrs and 35 mins
9. The Housemaid,By: Freida McFadden,Length: 9 hrs and 46 mins
10. The Serpent and the Wings of Night,By: Carissa Broadbent,Length: 15 hrs and 4 mins
11. The Anxious Generation,By: Jonathan Haidt,Length: 10 hrs and 32 mins
12. A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins
13. All the Colors of the Dark,By: Chris Whitaker,Length: 14 hrs and 37 mins
14. The Inmate,By: Freida McFadden,Length: 8 hrs and 5 mins
15. Eruption,"By: Michael Crichton, James Patterson",Length: 10 hrs and 32 mins
16. The Briar Club,By: Kate Quinn,Length: 15 hrs and 3 mins
17. Becoming Supernatural,By: Joe Dispenza,Length: 14 hrs and 6 mins
18. Kingdom of Ash,By: Sarah J. Maas,Length: 33 hrs and 11 mins
19. The God of the Woods,By: Liz Moore,Length: 14 hrs and 35 mins
20. First Lie Wins,By: Ashley Elston,Length: 9 hrs and 16 mins
21. A Court of Wings and Ruin,By: Sarah J. Maas,Length: 25 hrs and 9 mins
22. Too Late,By: Colleen Hoover,Length: 10 hrs and 19 mins
23. Supercommunicators,By: Charles Duhigg,Length: 7 hrs and 28 mins
24. You Like It Darker,By: Stephen King,Length: 20 hrs and 21 mins
25. It Starts with Us,By: Colleen Hoover,Length: 8 hrs and 41 mins
26. Funny Story,By: Emily Henry,Length: 11 hrs and 23 mins
27. He Who Fights with Monsters: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 56 mins
28. The Martian,By: Andy Weir,Length: 10 hrs and 59 mins
29. The Housemaid Is Watching,By: Freida McFadden,Length: 11 hrs and 42 mins
30. Fourth Wing,By: Rebecca Yarros,Length: 21 hrs and 22 mins
31. We Are Legion (We Are Bob),By: Dennis E. Taylor,Length: 9 hrs and 56 mins
32. Listen for the Lie,By: Amy Tintera,Length: 9 hrs and 18 mins
33. The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins
34. The Demon of Unrest,By: Erik Larson,Length: 17 hrs and 18 mins
35. Iron Flame,By: Rebecca Yarros,Length: 28 hrs and 16 mins
36. Jurassic Park,By: Michael Crichton,Length: 15 hrs and 10 mins
37. The Truths We Hold,By: Kamala Harris,Length: 9 hrs and 26 mins
38. Hopeless,By: Colleen Hoover,Length: 12 hrs and 34 mins
39. A Court of Silver Flames,By: Sarah J. Maas,Length: 26 hrs and 5 mins
40. Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
41. The Last Mrs. Parrish,By: Liv Constantine,Length: 12 hrs
42. The Silencer Series Box Set Books 1-4,By: Mike Ryan,Length: 20 hrs and 25 mins
43. Raising Good Humans,"By: Hunter Clarke-Fields MSAE, Carla Naumburg PhD",Length: 5 hrs and 37 mins
44. The Nightingale,By: Kristin Hannah,Length: 17 hrs and 19 mins
45. The Five Love Languages: The Secret to Love That Lasts,By: Gary Chapman,Length: 4 hrs and 46 mins
46. The Search,By: Nora Roberts,Length: 14 hrs and 54 mins
47. Every Summer After,By: Carley Fortune,Length: 9 hrs and 38 mins
48. The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 55 mins
49. Life After Death,By: Sister Souljah,Length: 16 hrs and 1 min
50. Take Control of Your Life,By: Mel Robbins,Length: 10 hrs and 3 mins
51. The Black Bird Oracle,By: Deborah Harkness,Length: 17 hrs and 3 mins
52. Butcher & Blackbird,By: Brynne Weaver,Length: 8 hrs and 43 mins
53. Red Sky Mourning,By: Jack Carr,Length: 15 hrs and 28 mins
54. Haunting Adeline,By: H. D. Carlton,Length: 15 hrs and 49 mins
55. A Game of Thrones,By: George R.R. Martin,Length: 33 hrs and 46 mins
56. The Wolf of the North Trilogy,By: Duncan M. Hamilton,Length: 32 hrs and 22 mins
57. Maybe You Should Talk to Someone,By: Lori Gottlieb,Length: 14 hrs and 21 mins
58. The Mountain Is You,By: Brianna Wiest,Length: 5 hrs and 44 mins
59. Queen of Shadows,By: Sarah J. Maas,Length: 20 hrs and 43 mins
60. For We Are Many,By: Dennis E. Taylor,Length: 8 hrs and 59 mins
61. The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
62. Children of Time,By: Adrian Tchaikovsky,Length: 16 hrs and 31 mins
63. House of Flame and Shadow,By: Sarah J. Maas,Length: 29 hrs and 42 mins
64. The History of the Ancient World,By: Susan Wise Bauer,Length: 26 hrs and 20 mins
65. Empire of Storms,By: Sarah J. Maas,Length: 25 hrs and 18 mins
66. Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
67. Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins
68. House of Earth and Blood,By: Sarah J. Maas,Length: 27 hrs and 50 mins
69. I Can't Make This Up,"By: Neil Strauss - contributor, Kevin Hart",Length: 11 hrs and 15 mins
70. The Dalton Family Bundle: Books 1-3,By: Marni Mann,Length: 25 hrs and 58 mins
71. Cosmos,By: Carl Sagan,Length: 14 hrs and 31 mins
72. Greenlights,By: Matthew McConaughey,Length: 6 hrs and 42 mins
73. Nuclear War,By: Annie Jacobsen,Length: 11 hrs and 19 mins
74. Home Again,By: Kristin Hannah,Length: 12 hrs and 58 mins
75. Tower of Dawn,By: Sarah J. Maas,Length: 22 hrs and 39 mins
"76. Autocracy, Inc.",By: Anne Applebaum,Length: 4 hrs and 48 mins
77. Indistractable,"By: Nir Eyal, Julie Li",Length: 5 hrs and 15 mins
"78. An Irish Village Mystery Bundle, Books 1-3",By: Carlene O'Connor,Length: 29 hrs and 55 mins
79. Verity,By: Colleen Hoover,Length: 8 hrs and 10 mins
80. The Four Agreements,By: don Miguel Ruiz,Length: 2 hrs and 31 mins
81. The Midnight Feast,By: Lucy Foley,Length: 10 hrs and 20 mins
82. Demon Copperhead,By: Barbara Kingsolver,Length: 21 hrs and 3 mins
83. How to Win Friends & Influence People,By: Dale Carnegie,Length: 7 hrs and 15 mins
84. All These Worlds,By: Dennis E. Taylor,Length: 7 hrs and 56 mins
