title,author,length
Tongue-Tied,By: Christina Lee,Length: 6 hrs and 35 mins
Centurion,By: Kris Michaels,Length: 6 hrs and 33 mins
Meant for Love,By: Natasha Madison,Length: 8 hrs and 19 mins
Mark of the Fool 6,By: J.M. Clarke,Length: 23 hrs and 3 mins
Task Force Hammer,By: Craig Alanson,Length: 21 hrs and 40 mins
North of Denton,By: C.J. Petit,Length: 9 hrs and 20 mins
A Many-Threaded Tapestry,By: Olan Thorensen,Length: 24 hrs and 11 mins
Something Borrowed,By: Lily Morton,Length: 8 hrs and 18 mins
Drumindor,By: Michael J. Sullivan,Length: 12 hrs and 45 mins
Practical Adept,By: Terry Mancour,Length: 32 hrs and 57 mins
Diving Into Her,By: Alyson Root,Length: 8 hrs and 57 mins
Donate,By: Emma Ellis,Length: 10 hrs and 23 mins
Never Never,"By: Colleen Hoover, Tarryn Fisher",Length: 9 hrs and 48 mins
House of Sky and Breath (Part 2 of 2) (Dramatized Adaptation),By: Sarah J. Maas,Length: 12 hrs
Lights Out,By: Navessa Allen,Length: 13 hrs and 38 mins
The Book of Enoch,By: Enoch,Length: 4 hrs and 27 mins
Paragon Exordium,By: Mikel Melwasul,Length: 24 hrs and 9 mins
From Blood and Ash (Part 2 of 2) (Dramatized Adaptation),By: Jennifer L. Armentrout,Length: 7 hrs
The Shadow Rising,By: Robert Jordan,Length: 40 hrs and 31 mins
Penetration,By: Ingo Swann,Length: 6 hrs and 22 mins
