title,author,length
Master Class 4,"Virgil Knightley,Annabelle Hawthorne",Length: 11 hrs and 12 mins
Saintess Summons Skeletons 2,Mornn,Length: 22 hrs and 53 mins
Sons of Fenris,Lee Lightner,Length: 10 hrs and 52 mins
Kraken Mage,Robin Hutson,Length: 10 hrs and 41 mins
Mark of the Fool 6,J.M. Clarke,Length: 23 hrs and 3 mins
A Many-Threaded Tapestry,Olan Thorensen,Length: 24 hrs and 11 mins
Task Force Hammer,Craig Alanson,Length: 21 hrs and 40 mins
Radley's Christmas for Horny Monsters,Annabelle Hawthorne,Length: 25 hrs and 44 mins
Lelith Hesperax: Queen of Knives,Mike Brooks,Length: 5 hrs and 59 mins
The Dragon's Prophecy,Jonathan Cahn,Length: Not Yet Known
Rapid Weight Loss Hypnosis for Women: 2 in 1 Bundle,Alisha Kapani,Length: 16 hrs and 6 mins
Herbal Tincture Mastery,Stephen H Sharp,Length: 4 hrs and 56 mins
Drumindor,Michael J. Sullivan,Length: 12 hrs and 45 mins
"My Secret Portal to a Fantasy World, Book 3",D. Levesque,Length: 10 hrs and 4 mins
Mage Assassins & Other Misfits,"Annette Marie,Rob Jacobsen",Length: 7 hrs and 40 mins
Sanctuary,Ilona Andrews,Length: 4 hrs and 27 mins
Dungeon Core Guardians Omnibus: Books 1-3,"Jack Spry,Marcus Sloss",Length: 36 hrs and 42 mins
House of Sky and Breath (Part 2 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 12 hrs
Practical Adept,Terry Mancour,Length: 32 hrs and 57 mins
Shameless,Brian Tyler Cohen,Length: 4 hrs and 38 mins
